image_ref,caption,contributor,date
1.png,I finally joined the fast crowd!,Alden,4/21/2023
2.jpg,"Oshawa got Neuron rental scooters, Bird scooters spotted shortly after..",Alden,4/25/2023
3.png,The sidewalk isn't plowed -- what now? We ride on the road!,Alden,1/25/2023
4.jpg,Size (and speed) matters!,Alden,4/25/2023
5.jpg,No issues at Taunton Canadian Tire!,Alden,11/5/2023
6.jpg,Night ride with Nassim..,Zio,11/8/2022
7.jpg,And then there was three!,Alden,11/8/2022
8.jpg,Summer ride over to the butcher's.,Alden,5/11/2023
9.jpg,It's here! (It's finally here!),Kamran ,9/23/2023
10.jpg,E-Vehicles are a great de-stresser.,Kamran ,9/23/2023
